Row,city,hex,popularity
76,Medellín,886619d929fffff,0.9459237175
77,Medellín,886619d92bfffff,0.9892258661
78,Medellín,886619d92dfffff,0.9981083582
79,Medellín,886619d931fffff,0.9196052226
80,Medellín,886619d933fffff,0.9955998766
81,Medellín,886619d935fffff,0.9964223296
82,Medellín,886619d937fffff,0.9942839519
83,Medellín,886619d93dfffff,0.9980261129
84,Medellín,886619d941fffff,0.9092628765
85,Medellín,886619d943fffff,0.7359103526
86,Medellín,886619d947fffff,0.9961550324
87,Medellín,886619d949fffff,0.9992597923
88,Medellín,886619d94bfffff,0.6040094582
89,Medellín,886619d965fffff,0.5345121826
90,Medellín,886619d967fffff,0.9764572838
91,Medellín,886619d969fffff,0.9085637915
92,Phnom Penh,886584685bfffff,0.9939901266
93,Phnom Penh,88658468c9fffff,0.9965964493
94,Phnom Penh,8865846a13fffff,0.9937141631
95,Phnom Penh,8865846a81fffff,0.9984055438
96,Phnom Penh,8865846a85fffff,0.993315549
97,Phnom Penh,8865846a87fffff,0.9669763591
98,Phnom Penh,8865846a89fffff,0.08030539969
99,Phnom Penh,8865846a8bfffff,0.9766044215
100,Phnom Penh,8865846a8dfffff,0.9925489835
101,Phnom Penh,8865846a95fffff,0.9721583418
102,Phnom Penh,8865846a99fffff,0.1026584491
103,Phnom Penh,8865846aa1fffff,0.9965657866
104,Phnom Penh,8865846aa3fffff,0.9992334345
105,Phnom Penh,8865846aa9fffff,0.9975469905
106,Phnom Penh,8865846aabfffff,0.999601386
107,Phnom Penh,8865846aadfffff,0.9964737988
108,Phnom Penh,8865846ab1fffff,0.9817864042
109,Phnom Penh,8865846ab5fffff,0.4593566982
110,Phnom Penh,8865846ab9fffff,0.6447735566
111,Phnom Penh,8865846abbfffff,0.996535124
112,Phnom Penh,8865846abdfffff,0.9898200104
113,Phnom Penh,8865846ac1fffff,0.9586974519
114,Phnom Penh,8865846ac3fffff,0.9997853617
115,Phnom Penh,8865846ac5fffff,0.99356085
116,Phnom Penh,8865846ac7fffff,0.8251004201
117,Phnom Penh,8865846acbfffff,0.9890534449
118,Phnom Penh,8865846ad3fffff,0.8244565051
119,Phnom Penh,8865846ae1fffff,0.9879495907
120,Phnom Penh,8865846ae3fffff,0.9998773495
121,Phnom Penh,8865846ae5fffff,0.9957072333
122,Phnom Penh,8865846ae7fffff,0.9960445221
123,Phnom Penh,8865846ae9fffff,0.9924876583
124,Phnom Penh,8865846aebfffff,0.995891209
125,Phnom Penh,8865846aedfffff,0.9737221353
126,Surat,8842d98b01fffff,0.5919045055
127,Surat,8842d98b09fffff,0.4702028361
128,Surat,8842d98b29fffff,0.8116137139
129,Surat,8842d98b41fffff,0.8934661641
130,Surat,8842d98b45fffff,0.9833064082
131,Surat,8842d98b47fffff,0.9978459882
132,Surat,8842d98b49fffff,0.9433674385
133,Surat,8842d98b4dfffff,0.5733261533
134,Surat,8842d98b67fffff,0.4547657512
135,Surat,8842d98b6bfffff,0.04541374978
136,Surat,8842d98b6dfffff,0.8403338718
137,Surat,8842d999a5fffff,0.549632023
138,Surat,8842d999a7fffff,0.9661640639
139,Surat,8842d9d681fffff,0.6044695746
140,Surat,8842d9d683fffff,0.9878836834
141,Surat,8842d9d685fffff,0.817447496
142,Surat,8842d9d687fffff,0.8248967869
143,Surat,8842d9d68bfffff,0.9772033746
144,Surat,8842d9d68dfffff,0.190719799
145,Surat,8842d9d691fffff,0.5485550171
146,Surat,8842d9d693fffff,0.9827679052
147,Surat,8842d9d695fffff,0.7530066415
148,Surat,8842d9d697fffff,0.08095494525
149,Surat,8842d9d699fffff,0.7428648358
150,Surat,8842d9d69bfffff,0.9924609585
151,Surat,8842d9d6a1fffff,0.4919224556
152,Surat,8842d9d6a3fffff,0.8323460779
153,Surat,8842d9d6a9fffff,0.9830371567
154,Surat,8842d9d6abfffff,0.9949739724
155,Surat,8842d9d6b3fffff,0.1006103034
156,Surat,8842d9d6b9fffff,0.6673846706
157,Surat,8842d9d6bbfffff,0.05510680309
158,Surat,8842d9d6bdfffff,0.2740980075
159,Surat,8842d9d6d1fffff,0.9742416083
160,Surat,8842d9d6d5fffff,0.8864656256
161,Surat,8842d9d6d7fffff,0.9693053312
162,Surat,8842d9d6e3fffff,0.9775623766
163,Surat,8842d9d6e7fffff,0.7912403518
