Reactor Name,Model,Process,Capacity (MWe),Grid Connection,Load Factor (2023) (%),Electricity Generated (2023) (GWh),Construction Start,Country,Net Capacity (MWe),Permanent Shutdown
Atucha 1,PHWR KWU,PHWR,340.0,19/03/1974,73.8,2197.12,,Argentina,,
Atucha 2,PHWR KWU,PHWR,693.0,27/06/2014,25.4,1541.93,,Argentina,,
Embalse,CANDU 6,PHWR,608.0,25/04/1983,98.1,5224.06,,Argentina,,
Carem25,CAREM Prototype (Integrated-PWR),PWR,25.0,,,,08/02/2014,Argentina,,
Armenian 2,VVER V-270,PWR,416.0,05/01/1980,68.9,2512.03,,Armenia,,
Armenian 1,VVER V-270,PWR,,,,,,Armenia,376.0,25/02/1989
Rooppur 1,VVER V-523,PWR,1080.0,,,,30/11/2017,Bangladesh,,
Rooppur 2,VVER V-523,PWR,1080.0,,,,14/07/2018,Bangladesh,,
Ostrovets 1,VVER V-491,PWR,1110.0,03/11/2020,78.9,7675.4,,Belarus,,
Ostrovets 2,VVER V-491,PWR,1110.0,13/05/2023,84.6,3321.12,,Belarus,,
Doel 2,W (2-loop),PWR,445.0,21/08/1975,91.6,3570.58,,Belgium,,
Doel 4,W (3-loop),PWR,1026.0,08/04/1985,84.6,7670.06,,Belgium,,
Tihange 1,Framatome 3 loops reactor,PWR,962.0,07/03/1975,97.8,8242.06,,Belgium,,
Tihange 3,W (3-loop),PWR,1030.0,15/06/1985,83.1,7544.13,,Belgium,,
BR-3,Prototype,PWR,,,,,,Belgium,10.0,30/06/1987
Doel 1,W (2-loop),PWR,,,,,,Belgium,445.0,14/02/2025
Doel 3,W (3-loop),PWR,,,,,,Belgium,1006.0,23/09/2022
Tihange 2,W (3-loop),PWR,,,,,,Belgium,1008.0,31/01/2023
Angra 1,2-loop WE,PWR,609.0,01/04/1982,84.6,4515.48,,Brazil,,
Angra 2,PRE KONVOI,PWR,1275.0,21/07/2000,82.2,9179.95,,Brazil,,
Angra 3,PRE KONVOI,PWR,1340.0,,,,30/05/2010,Brazil,,
Kozloduy 5,VVER V-320,PWR,1003.0,29/11/1987,90.3,7932.76,,Bulgaria,,
Kozloduy 6,VVER V-320,PWR,1003.0,02/08/1991,86.0,7555.28,,Bulgaria,,
Kozloduy 1,VVER V-230,PWR,,,,,,Bulgaria,408.0,31/12/2002
Kozloduy 2,VVER V-230,PWR,,,,,,Bulgaria,408.0,31/12/2002
Kozloduy 3,VVER V-230,PWR,,,,,,Bulgaria,408.0,31/12/2006
Kozloduy 4,VVER V-230,PWR,,,,,,Bulgaria,408.0,31/12/2006
Bruce 1,CANDU 791,PHWR,811.0,14/01/1977,101.1,7022.43,,Canada,,
Bruce 2,CANDU 791,PHWR,777.0,04/09/1976,102.7,6992.4,,Canada,,
Bruce 3,CANDU 750A,PHWR,770.0,12/12/1977,17.0,1145.06,,Canada,,
Bruce 4,CANDU 750A,PHWR,807.0,21/12/1978,85.4,5895.12,,Canada,,
Bruce 5,CANDU 750B,PHWR,817.0,02/12/1984,96.8,6928.71,,Canada,,
Bruce 6,CANDU 750B,PHWR,817.0,26/06/1984,30.7,2197.13,,Canada,,
Bruce 7,CANDU 750B,PHWR,817.0,22/02/1986,100.3,7176.72,,Canada,,
Bruce 8,CANDU 750B,PHWR,817.0,09/03/1987,69.2,4955.12,,Canada,,
Darlington 1,CANDU 850,PHWR,878.0,19/12/1990,0.0,0.0,,Canada,,
Darlington 2,CANDU 850,PHWR,878.0,15/01/1990,94.1,7240.39,,Canada,,
Darlington 3,CANDU 850,PHWR,878.0,07/12/1992,44.7,3440.41,,Canada,,
Darlington 4,CANDU 850,PHWR,878.0,17/04/1993,54.1,4163.79,,Canada,,
Pickering 5,CANDU 500B,PHWR,516.0,19/12/1982,93.1,4208.08,,Canada,,
Pickering 6,CANDU 500B,PHWR,516.0,08/11/1983,64.8,2930.52,,Canada,,
Pickering 7,CANDU 500B,PHWR,516.0,17/11/1984,95.7,4324.26,,Canada,,
Pickering 8,CANDU 500B,PHWR,516.0,21/01/1986,58.2,2630.89,,Canada,,
Point Lepreau,CANDU 6,PHWR,660.0,11/09/1982,82.4,4764.67,,Canada,,
Douglas Point,CANDU 200,PHWR,,,,,,Canada,206.0,04/05/1984
Gentilly 1,HW BLWR 250,HWLWR,,,,,,Canada,250.0,01/06/1977
Gentilly 2,CANDU 6,PHWR,,,,,,Canada,635.0,28/12/2012
Pickering 1,CANDU 500A,PHWR,,,,,,Canada,515.0,01/10/2024
Pickering 2,CANDU 500A,PHWR,,,,,,Canada,515.0,28/05/2007
Pickering 3,CANDU 500A,PHWR,,,,,,Canada,515.0,31/10/2008
Pickering 4,CANDU 500A,PHWR,,,,,,Canada,515.0,31/12/2024
Rolphton NPD,CANDU,PHWR,,,,,,Canada,22.0,01/08/1987
Changjiang 1,CNP-600,PWR,601.0,07/11/2015,88.20,4645.34,,China,,
Changjiang 2,CNP-600,PWR,601.0,20/06/2016,97.10,5110.99,,China,,
Daya Bay 1,M310,PWR,944.0,31/08/1993,100.50,8307.47,,China,,
Daya Bay 2,M310,PWR,986.0,07/02/1994,74.80,6181.83,,China,,
Fangchenggang 1,CPR-1000,PWR,1000.0,25/10/2015,90.60,7940.89,,China,,
Fangchenggang 2,CPR-1000,PWR,1000.0,15/07/2016,91.80,8044.34,,China,,
Fangchenggang 3,HPR1000,PWR,1105.0,10/01/2023,106.60,7569.94,,China,,
Fangchenggang 4,HPR1000,PWR,1105.0,09/04/2024,-,-,,China,,
Fangjiashan 1,CPR-1000,PWR,1012.0,04/11/2014,94.40,8364.58,,China,,
Fangjiashan 2,CPR-1000,PWR,1012.0,12/01/2015,100.20,8882.44,,China,,
Fuqing 1,CPR-1000,PWR,1000.0,20/08/2014,99.80,8746.94,,China,,
Fuqing 2,CPR-1000,PWR,1000.0,06/08/2015,88.80,7775.95,,China,,
Fuqing 3,CPR-1000,PWR,1000.0,07/09/2016,86.50,7576.01,,China,,
Fuqing 4,CPR-1000,PWR,1000.0,29/07/2017,64.70,5665.02,,China,,
Fuqing 5,Hualong One,PWR,1075.0,27/11/2020,89.60,8433.14,,China,,
Fuqing 6,HPR1000,PWR,1075.0,01/01/2022,78.30,7371.42,,China,,
Haiyang 1,AP1000,PWR,1170.0,17/08/2018,87.50,8971.59,,China,,
Haiyang 2,AP1000,PWR,1170.0,13/10/2018,88.10,9032.01,,China,,
Hongyanhe 1,CPR-1000,PWR,1061.0,17/02/2013,76.20,7084.46,,China,,
Hongyanhe 2,CPR-1000,PWR,1061.0,23/11/2013,87.60,8143.39,,China,,
Hongyanhe 3,CPR-1000,PWR,1061.0,23/03/2015,86.40,8025.66,,China,,
Hongyanhe 4,CPR-1000,PWR,1061.0,01/04/2016,83.60,7771.55,,China,,
Hongyanhe 5,ACPR-1000,PWR,1061.0,25/06/2021,89.80,8347.90,,China,,
Hongyanhe 6,ACPR-1000,PWR,1061.0,02/05/2022,82.90,7701.66,,China,,
Ling Ao 1,M310,PWR,950.0,26/02/2002,94.90,7899.06,,China,,
Ling Ao 2,M310,PWR,950.0,14/09/2002,83.70,6968.32,,China,,
Ling Ao 3,CPR-1000,PWR,1007.0,15/07/2010,100.40,8857.80,,China,,
Ling Ao 4,CPR-1000,PWR,1007.0,03/05/2011,93.60,8260.89,,China,,
Ningde 1,CPR-1000,PWR,1018.0,28/12/2012,83.50,7443.81,,China,,
Ningde 2,CPR-1000,PWR,1018.0,04/01/2014,99.50,8874.52,,China,,
Ningde 3,CPR-1000,PWR,1018.0,21/03/2015,96.40,8595.73,,China,,
Ningde 4,CPR-1000,PWR,1018.0,29/03/2016,89.40,7967.67,,China,,
Qinshan 1,CNP-300,PWR,326.0,15/12/1991,93.10,2659.67,,China,,
Qinshan 2 1,CNP-600,PWR,623.0,06/02/2002,100.10,5460.89,,China,,
Qinshan 2 2,CNP-600,PWR,623.0,11/03/2004,92.10,5026.63,,China,,
Qinshan 2 3,CNP-600,PWR,623.0,01/08/2010,95.00,5184.38,,China,,
Qinshan 2 4,CNP-600,PWR,623.0,25/11/2011,99.30,5419.73,,China,,
Qinshan 3 1,CANDU 6,PHWR,677.0,19/11/2002,89.20,5291.35,,China,,
Qinshan 3 2,CANDU 6,PHWR,677.0,12/06/2003,96.70,5737.33,,China,,
Sanmen 1,AP1000,PWR,1157.0,30/06/2018,97.60,9887.28,,China,,
Sanmen 2,AP1000,PWR,1157.0,24/08/2018,91.20,9240.77,,China,,
Shidaowan Guohe One 1,CAP1400,PWR,1400.0,31/10/2024,-,-,,China,,
Shidaowan HTR-PM 1,HTR-PM,HTGR,150.0,20/12/2021,100.40,112.09,,China,,
Taishan 1,EPR-1750,PWR,1660.0,29/06/2018,14.20,2068.27,,China,,
Taishan 2,EPR-1750,PWR,1660.0,23/06/2019,88.60,12884.09,,China,,
Tianwan 1,VVER V-428,PWR,1000.0,12/05/2006,89.90,7875.04,,China,,
Tianwan 2,VVER V-428,PWR,1000.0,14/05/2007,91.50,8015.09,,China,,
Tianwan 3,VVER V-428M,PWR,1060.0,30/12/2017,75.50,7013.26,,China,,
Tianwan 4,VVER V-428M,PWR,1060.0,27/10/2018,82.20,7630.39,,China,,
Tianwan 5,ACPR-1000,PWR,1060.0,08/08/2020,86.60,8038.07,,China,,
Tianwan 6,ACPR-1000,PWR,1060.0,11/05/2021,89.90,8344.00,,China,,
Yangjiang 1,CPR-1000,PWR,1000.0,31/12/2013,101.20,8868.11,,China,,
Yangjiang 2,CPR-1000,PWR,1000.0,10/03/2015,92.60,8111.96,,China,,
Yangjiang 3,CPR-1000,PWR,1000.0,18/10/2015,92.10,8071.11,,China,,
Yangjiang 4,CPR-1000,PWR,1000.0,08/01/2017,102.50,8978.18,,China,,
Yangjiang 5,ACPR-1000,PWR,1000.0,23/05/2018,91.20,7988.19,,China,,
Yangjiang 6,ACPR-1000,PWR,1000.0,29/06/2019,91.50,8015.33,,China,,
Zhangzhou 1,Hualong One,PWR,1126.0,28/11/2024,-,-,,China,,
Changjiang SMR-1,ACP100,PWR,125.0,,,,13/07/2021,China,,
Changjiang-3,Hualong One,PWR,1100.0,,,,31/03/2021,China,,
Changjiang-4,Hualong One,PWR,1100.0,,,,28/12/2021,China,,
Haiyang 3,CAP1000,PWR,1161.0,,,,07/07/2022,China,,
Haiyang 4,CAP1000,PWR,1161.0,,,,22/04/2023,China,,
Lianjiang 1,CAP1000,PWR,1161.0,,,,27/09/2023,China,,
Lianjiang 2,CAP1000,PWR,1161.0,,,,26/04/2024,China,,
Lufeng 1,CAP1000,PWR,1161.0,,,,24/02/2025,China,,
Lufeng 5,Hualong One,PWR,1116.0,,,,08/09/2022,China,,
Lufeng 6,Hualong One,PWR,1116.0,,,,26/08/2023,China,,
Ningde 5,Hualong One,PWR,1116.0,,,,28/07/2024,China,,
San'ao 1,Hualong One,PWR,1117.0,,,,31/12/2020,China,,
San'ao 2,Hualong One,PWR,1117.0,,,,31/12/2021,China,,
Sanmen 3,CAP1000,PWR,1163.0,,,,28/06/2022,China,,
Sanmen 4,CAP1000,PWR,1163.0,,,,22/03/2023,China,,
Shidaowan 1,Hualong One,PWR,1134.0,,,,28/07/2024,China,,
Shidaowan 2,Hualong One,PWR,1134.0,,,,08/05/2025,China,,
Shidaowan Guohe One 2,CAP1400,PWR,1400.0,,,,21/04/2020,China,,
Taipingling 1,HPR1000,PWR,1116.0,,,,26/12/2019,China,,
Taipingling 2,HPR1000,PWR,1116.0,,,,15/10/2020,China,,
Tianwan 7,VVER V-491,PWR,1100.0,,,,19/05/2021,China,,
Tianwan 8,VVER V-491,PWR,1100.0,,,,25/02/2022,China,,
Xiapu 1,CFR-600,FBR,600.0,,,,29/12/2017,China,,
Xiapu 2,CFR-600,FBR,600.0,,,,27/12/2020,China,,
Xudabao 1,CAP1000,PWR,1000.0,,,,03/11/2023,China,,
Xudabao 2,CAP1000,PWR,1000.0,,,,17/07/2024,China,,
Xudabao 3,VVER V-491,PWR,1200.0,,,,28/07/2021,China,,
Xudabao 4,VVER V-491,PWR,1200.0,,,,19/05/2022,China,,
Zhangzhou 2,Hualong One,PWR,1126.0,,,,04/09/2020,China,,
Zhangzhou 3,Hualong One,PWR,1126.0,,,,22/02/2024,China,,
Zhangzhou 4,Hualong One,PWR,1129.0,,,,27/09/2024,China,,
Dukovany 1,VVER V-213,PWR,510.0,24/02/1985,78.2,3207.28,,Czech Republic,,
Dukovany 2,VVER V-213,PWR,510.0,30/01/1986,75.5,3115.8,,Czech Republic,,
Dukovany 3,VVER V-213,PWR,510.0,14/11/1986,96.0,3936.58,,Czech Republic,,
Dukovany 4,VVER V-213,PWR,510.0,11/06/1987,77.3,3189.39,,Czech Republic,,
Temelin 1,VVER V-320,PWR,1086.0,21/12/2000,83.8,7542.49,,Czech Republic,,
Temelin 2,VVER V-320,PWR,1086.0,29/12/2002,85.8,7736.61,,Czech Republic,,
El Dabaa 1,VVER-1200/V-529,PWR,1100.0,,,,20/07/2022,Egypt,,
El Dabaa 2,VVER-1200/V-529,PWR,1100.0,,,,20/11/2022,Egypt,,
El Dabaa 3,VVER-1200/V-529,PWR,1100.0,,,,03/05/2023,Egypt,,
El Dabaa 4,VVER-1200/V-529,PWR,1100.0,,,,23/01/2024,Egypt,,
Loviisa 1,VVER V-213,PWR,507.0,08/02/1977,89.8,3987.98,,Finland,,
Loviisa 2,VVER V-213,PWR,507.0,04/11/1980,92.3,4100.21,,Finland,,
Olkiluoto 1,"ABB-III, BWR-2500",BWR,890.0,02/09/1978,95.3,7428.24,,Finland,,
Olkiluoto 2,"ABB-III, BWR-2500",BWR,890.0,18/02/1980,88.1,6871.08,,Finland,,
Olkiluoto 3,EPR,PWR,1575.0,12/03/2022,88.8,10371.84,,Finland,,
Belleville 1,P4 REP 1300,PWR,1310.0,14/10/1987,50.20,5765.70,,France,,
Belleville 2,P4 REP 1300,PWR,1310.0,06/07/1988,61.00,7004.38,,France,,
Blayais 1,CP1,PWR,910.0,12/06/1981,50.30,4010.38,,France,,
Blayais 2,CP1,PWR,910.0,17/07/1982,44.20,3520.88,,France,,
Blayais 3,CP1,PWR,910.0,17/08/1983,82.70,6594.91,,France,,
Blayais 4,CP1,PWR,910.0,16/05/1983,53.50,4262.81,,France,,
Bugey 2,CP0,PWR,910.0,10/05/1978,65.60,5226.93,,France,,
Bugey 3,CP0,PWR,910.0,21/09/1978,80.50,6418.38,,France,,
Bugey 4,CP0,PWR,880.0,08/03/1979,86.70,6683.66,,France,,
Bugey 5,CP0,PWR,880.0,31/07/1979,78.90,6081.03,,France,,
Cattenom 1,P4 REP 1300,PWR,1300.0,13/11/1986,45.20,5152.34,,France,,
Cattenom 2,P4 REP 1300,PWR,1300.0,17/09/1987,47.00,5348.61,,France,,
Cattenom 3,P4 REP 1300,PWR,1300.0,06/07/1990,47.70,5434.54,,France,,
Cattenom 4,P4 REP 1300,PWR,1300.0,27/05/1991,90.80,10334.09,,France,,
Chinon B 1,CP2,PWR,905.0,30/11/1982,7.90,628.22,,France,,
Chinon B 2,CP2,PWR,905.0,29/11/1983,77.00,6100.43,,France,,
Chinon B 3,CP2,PWR,905.0,20/10/1986,61.00,4835.37,,France,,
Chinon B 4,CP2,PWR,905.0,14/11/1987,72.20,5727.02,,France,,
Chooz B 1,N4 REP 1450,PWR,1500.0,30/08/1996,61.60,8089.97,,France,,
Chooz B 2,N4 REP 1450,PWR,1500.0,10/04/1997,60.00,7888.17,,France,,
Civaux 1,N4 REP 1450,PWR,1495.0,24/12/1997,80.80,10575.26,,France,,
Civaux 2,N4 REP 1450,PWR,1495.0,24/12/1999,65.00,8513.71,,France,,
Cruas 1,CP2,PWR,915.0,29/04/1983,47.60,3816.03,,France,,
Cruas 2,CP2,PWR,915.0,06/09/1984,67.70,5425.63,,France,,
Cruas 3,CP2,PWR,915.0,14/05/1984,73.20,5869.28,,France,,
Cruas 4,CP2,PWR,915.0,27/10/1984,73.90,5923.87,,France,,
Dampierre 1,CP1,PWR,890.0,23/03/1980,55.80,4348.67,,France,,
Dampierre 2,CP1,PWR,890.0,10/12/1980,85.70,6679.55,,France,,
Dampierre 3,CP1,PWR,890.0,30/01/1981,70.40,5490.16,,France,,
Dampierre 4,CP1,PWR,890.0,18/08/1981,70.40,5490.50,,France,,
Flamanville 1,P4 REP 1300,PWR,1330.0,04/12/1985,24.10,2809.51,,France,,
Flamanville 2,P4 REP 1300,PWR,1330.0,18/07/1986,77.20,8993.91,,France,,
Flamanville 3,EPR,PWR,1630.0,21/12/2024,-,-,,France,,
Golfech 1,P4 REP 1300,PWR,1310.0,07/06/1990,0.00,0.00,,France,,
Golfech 2,P4 REP 1300,PWR,1310.0,18/06/1993,41.90,4805.98,,France,,
Gravelines 1,CP1,PWR,910.0,13/03/1980,13.20,1055.48,,France,,
Gravelines 2,CP1,PWR,910.0,26/08/1980,43.40,3459.28,,France,,
Gravelines 3,CP1,PWR,910.0,12/12/1980,80.90,6448.18,,France,,
Gravelines 4,CP1,PWR,910.0,14/06/1981,85.20,6792.53,,France,,
Gravelines 5,CP1,PWR,910.0,28/08/1984,81.30,6479.71,,France,,
Gravelines 6,CP1,PWR,910.0,01/08/1985,59.00,4707.20,,France,,
Nogent 1,P4 REP 1300,PWR,1310.0,21/10/1987,68.80,7901.27,,France,,
Nogent 2,P4 REP 1300,PWR,1310.0,14/12/1988,50.40,5785.29,,France,,
Paluel 1,P4 REP 1300,PWR,1330.0,22/06/1984,60.10,6998.25,,France,,
Paluel 2,P4 REP 1300,PWR,1330.0,14/09/1984,85.60,9968.67,,France,,
Paluel 3,P4 REP 1300,PWR,1330.0,30/09/1985,63.40,7384.88,,France,,
Paluel 4,P4 REP 1300,PWR,1330.0,11/04/1986,69.20,8060.67,,France,,
Penly 1,P4 REP 1300,PWR,1330.0,04/05/1990,42.20,4916.24,,France,,
Penly 2,P4 REP 1300,PWR,1330.0,04/02/1992,49.50,5763.76,,France,,
St. Alban 1,P4 REP 1300,PWR,1335.0,30/08/1985,41.40,4843.46,,France,,
St. Alban 2,P4 REP 1300,PWR,1335.0,03/07/1986,95.20,11131.59,,France,,
St. Laurent B 1,CP2,PWR,915.0,21/01/1981,59.10,4734.88,,France,,
St. Laurent B 2,CP2,PWR,915.0,01/06/1981,6.20,500.78,,France,,
Tricastin 1,CP1,PWR,915.0,31/05/1980,68.00,5453.03,,France,,
Tricastin 2,CP1,PWR,915.0,07/08/1980,70.70,5664.11,,France,,
Tricastin 3,CP1,PWR,915.0,10/02/1981,77.10,6179.71,,France,,
Tricastin 4,CP1,PWR,915.0,12/06/1981,71.00,5694.38,,France,,
Bugey 1,UNGG,GCR,,,,,,France,540.0,27/05/1994
Chinon A 1,UNGG,GCR,,,,,,France,70.0,16/04/1973
Chinon A 2,UNGG,GCR,,,,,,France,180.0,14/06/1985
Chinon A 3,UNGG,GCR,,,,,,France,360.0,15/06/1990
Chooz A (Ardennes),CHOOZ-A,PWR,,,,,,France,305.0,30/10/1991
El 4 (Monts D'Arree),MONTS-D'ARREE,HWGCR,,,,,,France,70.0,31/07/1985
Fessenheim 1,CP0,PWR,,,,,,France,880.0,22/02/2020
Fessenheim 2,CP0,PWR,,,,,,France,880.0,29/06/2020
G 2 (Marcoule),,GCR,,,,,,France,39.0,02/02/1980
G 3 (Marcoule),,GCR,,,,,,France,40.0,20/06/1984
Phenix,PH-250,FBR,,,,,,France,130.0,01/02/2010
St. Laurent A 1,UNGG,GCR,,,,,,France,390.0,18/04/1990
St. Laurent A 2,UNGG,GCR,,,,,,France,465.0,27/05/1992
Super Phenix,Na-1200,FBR,,,,,,France,1200.0,31/12/1998
AVR Juelich,Pebble bed reactor prototype,HTGR,,,,,,Germany,13.0,31/12/1988
Biblis A,PWR,PWR,,,,,,Germany,1167.0,06/08/2011
Biblis B,PWR,PWR,,,,,,Germany,1240.0,06/08/2011
Brokdorf,PWR,PWR,,,,,,Germany,1410.0,31/12/2021
Brunsbuettel,BWR-69,BWR,,,,,,Germany,771.0,06/08/2011
Emsland,Konvoi,PWR,,,,,,Germany,1335.0,15/04/2023
Grafenrheinfeld,PWR,PWR,,,,,,Germany,1275.0,27/06/2015
Greifswald 1,VVER V-230,PWR,,,,,,Germany,408.0,14/02/1990
Greifswald 2,VVER V-230,PWR,,,,,,Germany,408.0,14/02/1990
Greifswald 3,VVER V-230,PWR,,,,,,Germany,408.0,28/02/1990
Greifswald 4,VVER V-230,PWR,,,,,,Germany,408.0,22/07/1990
Greifswald 5,VVER V-213,PWR,,,,,,Germany,408.0,24/11/1989
Grohnde,PWR,PWR,,,,,,Germany,1360.0,31/12/2021
Gundremmingen A,BWR-1,BWR,,,,,,Germany,237.0,13/01/1977
Gundremmingen B,BWR-72,BWR,,,,,,Germany,1284.0,31/12/2017
Gundremmingen C,BWR-72,BWR,,,,,,Germany,1288.0,31/12/2021
HDR Grosswelzheim,Superheated steam reactor,BWR,,,,,,Germany,25.0,20/04/1971
Isar 1,BWR-69,BWR,,,,,,Germany,878.0,06/08/2011
Isar 2,Konvoi,PWR,,,,,,Germany,1410.0,15/04/2023
KNK II,Prototype,FBR,,,,,,Germany,17.0,23/08/1991
Kruemmel,BWR-69,BWR,,,,,,Germany,1346.0,06/08/2011
Lingen,BWR with fossil fuel-fired superheater,BWR,,,,,,Germany,183.0,05/01/1977
Muelheim Kaerlich,PWR,PWR,,,,,,Germany,1219.0,09/09/1988
Mzfr,-,PHWR,,,,,,Germany,52.0,03/05/1984
Neckarwestheim 1,PWR,PWR,,,,,,Germany,785.0,06/08/2011
Neckarwestheim 2,Konvoi,PWR,,,,,,Germany,1310.0,15/04/2023
Niederaichbach,pressure tube reactor,HWGCR,,,,,,Germany,100.0,31/07/1974
Obrigheim,PWR,PWR,,,,,,Germany,340.0,11/05/2005
Philippsburg 1,BWR-69,BWR,,,,,,Germany,890.0,06/08/2011
Philippsburg 2,PWR,PWR,,,,,,Germany,1402.0,31/12/2019
Rheinsberg,VVER-70,PWR,,,,,,Germany,62.0,01/06/1990
Stade,PWR,PWR,,,,,,Germany,640.0,14/11/2003
THTR-300,Pebble bed reactor,HTGR,,,,,,Germany,296.0,29/09/1988
Unterweser,PWR,PWR,,,,,,Germany,1345.0,06/08/2011
VAK Kahl,BWR,BWR,,,,,,Germany,15.0,25/11/1985
Wuergassen,BWR,BWR,,,,,,Germany,640.0,26/08/1994
Paks 1,VVER V-213,PWR,479.0,28/12/1982,88.5,3715.12,,Hungary,,
Paks 2,VVER V-213,PWR,479.0,06/09/1984,92.1,3863.62,,Hungary,,
Paks 3,VVER V-213,PWR,479.0,28/09/1986,82.2,3449.13,,Hungary,,
Paks 4,VVER V-213,PWR,479.0,16/08/1987,96.8,4063.77,,Hungary,,
Kaiga 1,Horizontal Pressure Tube type,PHWR,202.0,12/10/2000,83.20,1472.23,,India,,
Kaiga 2,Horizontal Pressure Tube type,PHWR,202.0,02/12/1999,99.40,1759.87,,India,,
Kaiga 3,Horizontal Pressure Tube type,PHWR,202.0,11/04/2007,97.40,1722.86,,India,,
Kaiga 4,Horizontal Pressure Tube type,PHWR,202.0,19/01/2011,102.40,1811.38,,India,,
Kakrapar 1,Horizontal Pressure Tube type,PHWR,202.0,24/11/1992,99.70,1764.71,,India,,
Kakrapar 2,Horizontal Pressure Tube type,PHWR,202.0,04/03/1995,86.60,1533.03,,India,,
Kakrapar 3,PHWR-700,PHWR,630.0,10/01/2021,95.00,3422.13,,India,,
Kakrapar 4,PHWR-700,PHWR,630.0,20/02/2024,-,-,,India,,
Kudankulam 1,VVER V-412,PWR,932.0,22/10/2013,92.90,7584.74,,India,,
Kudankulam 2,VVER V-412,PWR,932.0,29/08/2016,73.40,5988.25,,India,,
Madras 1,Horizontal Pressure Tube type,PHWR,205.0,23/07/1983,0.00,0.00,,India,,
Madras 2,Horizontal Pressure Tube type,PHWR,205.0,20/09/1985,79.60,1429.96,,India,,
Narora 1,Horizontal Pressure Tube type,PHWR,202.0,29/07/1989,76.60,1355.97,,India,,
Narora 2,Horizontal Pressure Tube type,PHWR,202.0,05/01/1992,75.00,1326.28,,India,,
Rajasthan 2,Horizontal Pressure Tube type,PHWR,187.0,01/11/1980,73.90,1211.09,,India,,
Rajasthan 3,Horizontal Pressure Tube type,PHWR,202.0,10/03/2000,0.00,0.00,,India,,
Rajasthan 4,Horizontal Pressure Tube type,PHWR,202.0,17/11/2000,76.90,1360.73,,India,,
Rajasthan 5,Horizontal Pressure Tube type,PHWR,202.0,22/12/2009,90.50,1601.27,,India,,
Rajasthan 6,Horizontal Pressure Tube type,PHWR,202.0,28/03/2010,89.80,1589.28,,India,,
Rajasthan 7,Horizontal Pressure Tube type,PHWR,630.0,17/03/2025,-,-,,India,,
Tarapur 1,BWR-1 (Mark 2),BWR,150.0,01/04/1969,0.00,0.00,,India,,
Tarapur 2,BWR-1 (Mark 2),BWR,150.0,05/05/1969,0.00,0.00,,India,,
Tarapur 3,Horizontal Pressure Tube Type,PHWR,490.0,15/06/2006,99.90,4286.26,,India,,
Tarapur 4,Horizontal Pressure Tube Type,PHWR,490.0,04/06/2005,79.80,3425.53,,India,,
Kudankulam 3,VVER V-412,PWR,917.0,,,,29/06/2017,India,,
Kudankulam 4,VVER V-412,PWR,917.0,,,,23/10/2017,India,,
Kudankulam 5,VVER V-412,PWR,917.0,,,,29/06/2021,India,,
Kudankulam 6,VVER V-412,PWR,917.0,,,,20/12/2021,India,,
PFBR,Prototype,FBR,470.0,,,,23/10/2004,India,,
Rajasthan 8,Horizontal Pressure Tube type,PHWR,630.0,,,,30/09/2011,India,,
Rajasthan 1,Horizontal Pressure Tube type,PHWR,,,,,,India,134.0,
Bushehr 1,VVER V-446,PWR,915.0,03/09/2011,75.7,6071.16,,Iran,,
Bushehr 2,VVER-1000,PWR,974.0,,,,10/11/2019,Iran,,
Caorso,BWR-4 (Mark 2),BWR,,,,,,Italy,860.0,01/07/1990
Enrico Fermi,W (4-loop),PWR,,,,,,Italy,260.0,01/07/1990
Garigliano,BWR-1,BWR,,,,,,Italy,150.0,01/03/1982
Latina,MAGNOX,GCR,,,,,,Italy,153.0,01/12/1987
Genkai 3,M (4-loop),PWR,1127.0,15/06/1993,88.0,8691.55,,Japan,,
Genkai 4,M (4-loop),PWR,1127.0,12/11/1996,90.3,8916.51,,Japan,,
Hamaoka 3,BWR-5,BWR,1056.0,20/01/1987,,0.0,,Japan,,
Hamaoka 4,BWR-5,BWR,1092.0,27/01/1993,0.0,0.0,,Japan,,
Hamaoka 5,ABWR,BWR,1325.0,30/04/2004,0.0,0.0,,Japan,,
Higashi Dori 1 (Tohoku),BWR-5,BWR,1067.0,09/03/2005,0.0,0.0,,Japan,,
Ikata 3,M (3-loop),PWR,846.0,29/03/1994,77.1,5715.39,,Japan,,
Kashiwazaki Kariwa 1,BWR-5,BWR,1067.0,13/02/1985,0.0,0.0,,Japan,,
Kashiwazaki Kariwa 2,BWR-5,BWR,1067.0,08/02/1990,0.0,0.0,,Japan,,
Kashiwazaki Kariwa 3,BWR-5,BWR,1067.0,08/12/1992,0.0,0.0,,Japan,,
Kashiwazaki Kariwa 4,BWR-5,BWR,1067.0,21/12/1993,0.0,0.0,,Japan,,
Kashiwazaki Kariwa 5,BWR-5,BWR,1067.0,12/09/1989,0.0,0.0,,Japan,,
Kashiwazaki Kariwa 6,ABWR,BWR,1315.0,29/01/1996,0.0,0.0,,Japan,,
Kashiwazaki Kariwa 7,ABWR,BWR,1315.0,17/12/1996,0.0,0.0,,Japan,,
Mihama 3,M (3-loop),PWR,780.0,19/02/1976,85.2,5823.48,,Japan,,
Ohi 3,M (4-loop),PWR,1127.0,07/06/1991,102.9,10162.58,,Japan,,
Ohi 4,M (4-loop),PWR,1127.0,19/06/1992,86.6,8554.07,,Japan,,
