Reactor Name,Model,Process,Capacity (MWe),Grid Connection,Load Factor (2023) (%),Electricity Generated (2023) (GWh),Net Capacity (MWe),Permanent Shutdown
Turkey Point 4,W (3-loop) DRYAMB,PWR,821.0,21/06/1973,92.60,6656.18,,
Virgil C. Summer 1,W (3-loop) DRYAMB,PWR,973.0,16/11/1982,88.20,7517.23,,
Vogtle 1,W (4-loop) DRYAMB,PWR,1150.0,27/03/1987,91.80,9244.23,,
Vogtle 2,W (4-loop) DRYAMB,PWR,1152.0,10/04/1989,93.50,9436.09,,
Vogtle 3,AP1000,PWR,1117.0,01/04/2023,99.30,7369.67,,
Vogtle 4,AP1000,PWR,1117.0,01/03/2024,-,-,,
Waterford 3,CE (2-loop),PWR,1168.0,18/03/1985,76.40,7820.38,,
Watts Bar 1,W (4-loop) (ICECND),PWR,1157.0,06/02/1996,91.30,9253.94,,
Watts Bar 2,W (4-loop) (ICECND),PWR,1164.0,03/06/2016,92.70,9455.43,,
Wolf Creek,W (4-loop),PWR,1200.0,12/06/1985,98.00,10301.87,,
Big Rock Point,-,BWR,,,,,67.0,29/08/1997
Bonus,Superheater,BWR,,,,,17.0,01/06/1968
Carolinas�Virginia Tube Reactor (CVTR),Prototype,PHWR,,,,,17.0,10/01/1967
Crystal River 3,B&W; (L-loop),PWR,,,,,860.0,05/02/2013
Dresden 1,,BWR,,,,,197.0,31/10/1978
Duane Arnold 1,BWR-4 (Mark 1),BWR,,,,,601.0,30/10/2020
Elk River,-,BWR,,,,,22.0,01/02/1968
Enrico Fermi 1,Liquid Metal FBR,FBR,,,,,61.0,29/11/1972
Fort Calhoun 1,CE (2-loop),PWR,,,,,482.0,24/10/2016
Fort St. Vrain,,HTGR,,,,,330.0,29/08/1989
Haddam Neck,-,PWR,,,,,560.0,05/12/1996
Hallam,LMGMR (SGR- Sodium cooled graphite moderated reactor),X,,,,,75.0,01/09/1964
Humboldt Bay,Natural cir.,BWR,,,,,63.0,02/07/1976
Indian Point 1,PWR,PWR,,,,,257.0,31/10/1974
Indian Point 2,W (4-loop) DRYAMB,PWR,,,,,998.0,30/04/2020
Indian Point 3,W (4-loop) DRYAMB,PWR,,,,,1030.0,01/05/2021
Kewaunee,W (2-loop) DRYAMB,PWR,,,,,566.0,07/05/2013
Lacrosse,,BWR,,,,,48.0,30/04/1987
Maine Yankee,,PWR,,,,,860.0,01/08/1997
Millstone 1,,BWR,,,,,641.0,01/07/1998
Oyster Creek,BWR-2 (Mark 1),BWR,,,,,619.0,17/09/2018
Palisades,CE (2-loop) DRYAMB,PWR,,,,,805.0,20/05/2022
Pathfinder,Prototype,BWR,,,,,59.0,01/10/1967
Peach Bottom 1,,HTGR,,,,,40.0,01/11/1974
Pilgrim 1,BWR-3 (Mark 1),BWR,,,,,677.0,31/05/2019
Piqua,OCM (Organically Cooled and Moderated Reactor),X,,,,,12.0,01/01/1966
Rancho Seco 1,PWR,PWR,,,,,873.0,07/06/1989
San Onofre 1,PWR,PWR,,,,,436.0,30/11/1992
San Onofre 2,CE (2-loop) DRYAMB,PWR,,,,,1070.0,07/06/2013
San Onofre 3,CE (2-loop) DRYAMB,PWR,,,,,1080.0,07/06/2013
Saxton,25,PWR,,,,,3.0,01/05/1972
Shippingport,PLWBR,PWR,,,,,60.0,01/10/1982
Shoreham,-,BWR,,,,,820.0,01/05/1989
Three Mile Island 1,B&W; (L-loop),PWR,,,,,819.0,20/09/2019
Three Mile Island 2,PWR,PWR,,,,,880.0,28/03/1979
Trojan,,PWR,,,,,1095.0,09/11/1992
Vallecitos,25,BWR,,,,,24.0,09/12/1963
Vermont Yankee,BWR-4 (Mark 1),BWR,,,,,605.0,29/12/2014
Yankee NPS,PWR,PWR,,,,,167.0,01/10/1991
Zion 1,W (4-loop),PWR,,,,,1040.0,13/02/1998
Zion 2,W (4-loop),PWR,,,,,1040.0,13/02/1998
